original_prompt,template,optimized_prompt
make api,minimal,"<thinking>The request is underspecified. A minimal response should still define the API purpose, endpoints, validation, authentication assumptions, and concise implementation while avoiding unnecessary complexity.</thinking><output><role>Backend Engineer</role><task>Create a minimal REST API.</task><instructions><step>Implement only essential endpoints.</step><step>Use clean project structure.</step><step>Include validation.</step><step>Return proper HTTP status codes.</step><step>Provide startup instructions.</step></instructions><output_format>Minimal executable project.</output_format><constraints>Keep dependencies to the minimum.</constraints></output>"
explain recursion,academic,"<thinking>The educational level and learning objective are missing. An academic explanation should define concepts formally, provide proofs or reasoning where appropriate, compare alternatives, and include examples.</thinking><output><role>Computer Science Professor</role><context>Teach recursion using academically rigorous explanations.</context><task>Explain recursion.</task><instructions><step>Define recursion formally.</step><step>Explain base cases and recursive cases.</step><step>Illustrate call stack behavior.</step><step>Compare recursion with iteration.</step><step>Include complexity analysis.</step><step>Provide progressively harder examples.</step></instructions><output_format>Structured educational lesson.</output_format><constraints>Maintain technical accuracy.</constraints></output>"
build game,creative,"<thinking>The request leaves the genre, mechanics, audience, platform, scope, and artistic direction unspecified. A creative prompt should encourage innovation while maintaining implementation feasibility.</thinking><output><role>Creative Game Developer</role><context>Design an original game concept suitable for implementation.</context><task>Create a playable game.</task><instructions><step>Invent unique mechanics.</step><step>Define gameplay loop.</step><step>Describe progression.</step><step>Provide architecture.</step><step>Generate production-ready code.</step></instructions><output_format>Game design summary followed by source code.</output_format><constraints>Avoid cloning existing games.</constraints></output>"
generate sql,custom,"<thinking>The database engine, schema, relationships, constraints, and expected result are missing. SQL generation should adapt dynamically to user-provided schema information while avoiding unsupported syntax.</thinking><output><role>Database Engineer</role><context>Generate optimized SQL compatible with the specified database.</context><task>Create the requested SQL query.</task><instructions><step>Infer missing assumptions explicitly.</step><step>Optimize joins.</step><step>Avoid unnecessary subqueries.</step><step>Consider indexes.</step><step>Explain query execution.</step></instructions><output_format>SQL followed by explanation.</output_format><constraints>Remain compatible with the chosen SQL dialect.</constraints></output>"
write tests,accurate,"<thinking>The testing framework, language, coverage goals, and code under test are absent. Reliable test generation requires explicit assumptions and systematic coverage.</thinking><output><role>QA Automation Engineer</role><task>Create comprehensive automated tests.</task><instructions><step>Cover normal cases.</step><step>Cover edge cases.</step><step>Cover invalid inputs.</step><step>Use descriptive test names.</step><step>Avoid flaky tests.</step></instructions><output_format>Executable test suite with explanation.</output_format><constraints>Tests must be deterministic.</constraints></output>"
dockerize app,code,"<thinking>The application type, language, build system, runtime, environment variables, and deployment target are unknown. Containerization should follow production best practices.</thinking><output><role>DevOps Engineer</role><task>Containerize the application.</task><instructions><step>Create optimized Dockerfile.</step><step>Use multi-stage builds.</step><step>Reduce image size.</step><step>Handle environment variables securely.</step><step>Provide docker-compose if appropriate.</step></instructions><output_format>Dockerfile, explanation, run commands.</output_format><constraints>Follow container security best practices.</constraints></output>"
write regex,minimal,"<thinking>The matching rules, sample inputs, edge cases, and regex engine are unspecified. A concise prompt should still demand correctness and explanation.</thinking><output><role>Regex Specialist</role><task>Create an accurate regular expression.</task><instructions><step>Explain every token.</step><step>Provide matching examples.</step><step>Provide non-matching examples.</step></instructions><output_format>Regex with explanation.</output_format><constraints>Keep the expression as simple as possible.</constraints></output>"
convert code,custom,"<thinking>The source language, target language, framework, and compatibility requirements are unknown. Code translation should preserve behavior while adapting to language idioms.</thinking><output><role>Polyglot Software Engineer</role><task>Translate the provided code.</task><instructions><step>Preserve behavior.</step><step>Use idiomatic target-language patterns.</step><step>Explain major differences.</step><step>Maintain readability.</step></instructions><output_format>Converted code and migration notes.</output_format><constraints>Do not introduce unnecessary dependencies.</constraints></output>"
design database,academic,"<thinking>The domain, expected workload, normalization requirements, scalability goals, and consistency model are missing. Academic database design should justify architectural choices.</thinking><output><role>Database Architect</role><task>Design a normalized database schema.</task><instructions><step>Identify entities.</step><step>Define relationships.</step><step>Normalize appropriately.</step><step>Discuss indexing.</step><step>Explain design decisions.</step></instructions><output_format>ER description, SQL schema, rationale.</output_format><constraints>Minimize redundancy while maintaining performance.</constraints></output>"
build chatbot,creative,"<thinking>The intended audience, platform, personality, knowledge boundaries, and conversation goals are missing. Creative chatbot design should balance originality with safety.</thinking><output><role>Conversational AI Engineer</role><task>Create an engaging chatbot.</task><instructions><step>Define personality.</step><step>Specify conversation flow.</step><step>Handle unknown questions safely.</step><step>Provide implementation.</step></instructions><output_format>Architecture and code.</output_format><constraints>Avoid unsafe or fabricated information.</constraints></output>"
sort data,minimal,"<thinking>The dataset size, ordering rules, stability requirements, and performance constraints are not defined. The prompt should remain concise but explicit.</thinking><output><role>Algorithm Engineer</role><task>Sort the provided dataset.</task><instructions><step>Select the appropriate algorithm.</step><step>Explain complexity.</step><step>Provide implementation.</step></instructions><output_format>Code and explanation.</output_format><constraints>Prefer built-in libraries only when appropriate.</constraints></output>"
review code,accurate,"<thinking>A useful code review requires evaluation criteria beyond style alone. Security, maintainability, performance, readability, architecture, and correctness should all be considered.</thinking><output><role>Senior Code Reviewer</role><task>Review the submitted code.</task><instructions><step>Identify bugs.</step><step>Identify security risks.</step><step>Evaluate architecture.</step><step>Recommend improvements by priority.</step><step>Provide corrected snippets where beneficial.</step></instructions><output_format>Prioritized review report.</output_format><constraints>Separate objective issues from subjective preferences.</constraints></output>"
make algorithm,academic,"<thinking>The optimization target, inputs, outputs, constraints, and correctness criteria are unspecified. Academic algorithm design requires formal reasoning.</thinking><output><role>Algorithms Researcher</role><task>Design an efficient algorithm.</task><instructions><step>Define assumptions.</step><step>Describe algorithm formally.</step><step>Prove correctness informally.</step><step>Analyze time and space complexity.</step><step>Provide implementation.</step></instructions><output_format>Pseudocode, proof sketch, code.</output_format><constraints>Prioritize asymptotic efficiency.</constraints></output>"
create website,creative,"<thinking>The target audience, branding, functionality, responsiveness, accessibility, and technology stack are missing. Creative web development should integrate design and engineering principles.</thinking><output><role>Full Stack Web Designer</role><task>Create an original website.</task><instructions><step>Design responsive UI.</step><step>Ensure accessibility.</step><step>Create reusable components.</step><step>Implement animations sparingly.</step><step>Optimize performance.</step></instructions><output_format>Project structure and code.</output_format><constraints>Follow modern web standards.</constraints></output>"
optimize query,accurate,"<thinking>The database type, schema, indexes, execution plan, and workload are absent. Query optimization should rely on measurable evidence.</thinking><output><role>SQL Performance Engineer</role><task>Optimize the provided query.</task><instructions><step>Analyze execution strategy.</step><step>Reduce unnecessary scans.</step><step>Recommend indexes.</step><step>Compare before and after complexity.</step></instructions><output_format>Optimized SQL and rationale.</output_format><constraints>Preserve identical query semantics.</constraints></output>"
build cli,code,"<thinking>The command set, operating system, packaging method, argument parsing, and error handling expectations are not specified. Production CLI tools require usability and reliability.</thinking><output><role>Systems Software Engineer</role><task>Develop a command-line application.</task><instructions><step>Support help documentation.</step><step>Validate arguments.</step><step>Return meaningful exit codes.</step><step>Provide installation instructions.</step><step>Include unit tests.</step></instructions><output_format>Complete CLI project.</output_format><constraints>Ensure cross-platform compatibility whenever possible.</constraints></output>"
refactor project,custom,"<thinking>The existing architecture, technical debt, coding standards, scalability goals, and compatibility constraints are unknown. Refactoring should improve quality without changing observable behavior.</thinking><output><role>Principal Software Architect</role><context>Modernize an existing software project while preserving functionality.</context><task>Refactor the provided project.</task><instructions><step>Identify code smells.</step><step>Reduce duplication.</step><step>Improve modularity.</step><step>Maintain backward compatibility.</step><step>Explain every significant architectural change.</step><step>Suggest future improvements that were intentionally left out of scope.</step></instructions><output_format>Refactoring report, updated code, migration notes, validation checklist.</output_format><constraints>Behavior must remain functionally equivalent after refactoring.</constraints></output>"
write a python script,code,"<thinking>The request is generic — ""a python script"" for what? There's no domain, no I/O spec, no error handling, and no indication of Python version or dependencies. Without these, the model will hallucinate a toy example (e.g. print statements) that has zero real-world utility. I need to force the target LLM to ask itself: what's the input source, what's the expected output, what happens on malformed data, and what libraries are allowed/forbidden.</thinking> <output><role>Senior Python Backend Engineer</role> <context>The script will run in a production cron job, processing files that may be malformed or missing.</context> <task>Write a Python 3.11 script that reads a CSV of transaction records, validates each row, and writes valid rows to a cleaned output file while logging invalid rows to a separate error file.</task> <instructions> 1. Use argparse for input/output file paths. 2. Validate each row against expected schema (columns, types, non-null constraints). 3. Wrap file I/O in try/except with specific exception handling (FileNotFoundError, csv.Error). 4. Log invalid rows with the reason for rejection. 5. Use type hints and docstrings for every function. </instructions> <output_format>A single .py file with a `main()` entrypoint guarded by `if __name__ == ""__main__"":`.</output_format> <constraints>No external dependencies beyond the standard library. Must handle files up to 1GB without loading entirely into memory.</constraints></output>"
fix this bug,code,"<thinking>""Fix this bug"" with no code, no stack trace, no language, and no description of expected vs actual behavior is unactionable. The model needs a structured way to reason about the bug even before code is supplied — it should request the missing artifacts explicitly and lay out a debugging methodology rather than guessing at a fix.</thinking> <output><role>Senior Software Debugging Specialist</role> <context>A production bug has been reported but full details are not yet attached.</context> <task>Diagnose and fix the reported bug using a structured root-cause analysis.</task> <instructions> 1. If the code, language/framework version, stack trace, and reproduction steps are missing, explicitly list what's required before proceeding. 2. State the expected behavior vs. observed behavior. 3. Identify the root cause, not just the symptom — trace back through the call stack. 4. Propose a minimal, targeted fix (avoid unrelated refactors). 5. Explain why the bug occurred and how the fix prevents recurrence. 6. Suggest a regression test that would have caught this bug. </instructions> <output_format>Root cause explanation, followed by a diff-style code fix, followed by a suggested test case.</output_format> <constraints>Do not rewrite unrelated code. Do not suppress the error silently (e.g. bare except) without explaining the risk.</constraints></output>"
write a sql query,code,"<thinking>SQL correctness depends entirely on schema, engine dialect, and index availability — none of which are given. A generic query risks being syntactically valid but functionally wrong (wrong joins, N+1 subqueries, full table scans). I need to force specification of schema, dialect, and performance expectations.</thinking> <output><role>Senior Database Engineer</role> <context>PostgreSQL 15 database with tables: orders(id, customer_id, total, created_at), customers(id, name, region).</context> <task>Write a SQL query that returns total revenue per region for the last 90 days, sorted descending.</task> <instructions> 1. Use explicit JOIN syntax, not implicit comma joins. 2. Use a date filter with a parameterized or relative date function (e.g. NOW() - INTERVAL '90 days'). 3. Aggregate with SUM and GROUP BY, and include a HAVING clause if filtering on aggregates. 4. Add a comment noting which columns should be indexed for this query to run efficiently. 5. Avoid SELECT * — name output columns explicitly. </instructions> <output_format>A single SQL statement with inline comments explaining each clause.</output_format> <constraints>Must be dialect-specific to PostgreSQL. Do not use engine-specific functions unavailable in Postgres 15.</constraints></output>"
make an api,code,"<thinking>""Make an API"" omits the resource model, auth strategy, versioning approach, and error contract. Without these the model will produce a bare CRUD skeleton that ignores real API-design concerns like idempotency, pagination, and status code discipline. The optimized prompt must force explicit architecture decisions.</thinking> <output><role>API Architect</role> <context>Building a public-facing REST API for a task-management SaaS product, consumed by third-party developers.</context> <task>Design and implement a REST API for creating, reading, updating, and deleting tasks.</task> <instructions> 1. Define resource paths following REST conventions (e.g. /v1/tasks, /v1/tasks/{id}). 2. Specify authentication (Bearer token / API key) and rate limiting headers. 3. Define request/response JSON schemas including required vs optional fields. 4. Use correct HTTP status codes (200, 201, 400, 401, 404, 409, 429, 500) with a consistent error body format. 5. Support pagination for list endpoints (cursor or offset-based — specify which and why). 6. Note idempotency handling for POST requests (e.g. idempotency keys). </instructions> <output_format>OpenAPI 3.0-style endpoint definitions followed by example request/response payloads.</output_format> <constraints>Do not expose internal database IDs directly if they leak sequential ordering; use UUIDs.</constraints></output>"
write a regex,code,"<thinking>Regex requests are notoriously ambiguous — ""match an email"" or ""match a phone number"" hides dozens of edge cases (internationalization, optional parts, false positives). The model needs to be forced to state assumptions and test cases, not just emit a pattern.</thinking> <output><role>Senior Software Engineer specializing in text processing</role> <context>Validating user-submitted email addresses in a signup form, where false negatives (rejecting valid emails) are worse than minor false positives.</context> <task>Write a regular expression that validates email address format.</task> <instructions> 1. State the regex flavor (e.g. PCRE, JavaScript, Python re). 2. Explain what the regex intentionally does NOT validate (e.g. full RFC 5322 compliance is out of scope) and why. 3. Provide at least 5 valid and 5 invalid test strings with expected match results. 4. Avoid catastrophic backtracking patterns (e.g. nested quantifiers). </instructions> <output_format>The regex pattern, a plain-English explanation of each group, and a test table.</output_format> <constraints>Must not use lookbehind if targeting older JavaScript engines unless explicitly allowed.</constraints></output>"
build a scraper,code,"<thinking>Web scraping requests frequently ignore legal/ethical boundaries (robots.txt, ToS, rate limits) and technical realities (JS-rendered pages, anti-bot measures, pagination). The optimized prompt must bake in responsible-scraping constraints and ask for the concrete target site's structure.</thinking> <output><role>Senior Python Web Scraping Engineer</role> <context>Scraping publicly available product listings from an e-commerce site for competitive price monitoring.</context> <task>Write a Python scraper using requests and BeautifulSoup (or Playwright if the site is JS-rendered) to extract product name, price, and availability.</task> <instructions> 1. Check and respect robots.txt before scraping; state this explicitly in the code comments. 2. Implement rate limiting (e.g. delay between requests) to avoid overloading the target server. 3. Handle pagination and missing fields gracefully. 4. Use a realistic User-Agent header and handle HTTP errors (403, 429, 500) with retries/backoff. 5. Store output as structured JSON or CSV. </instructions> <output_format>A single Python script with clear function separation: fetch, parse, store.</output_format> <constraints>Do not attempt to bypass CAPTCHAs, paywalls, or explicit anti-scraping protections. Flag if the target site's ToS likely prohibits scraping.</constraints></output>"
write unit tests,code,"<thinking>""Write unit tests"" without the source code, function signatures, or testing framework leaves the model guessing what to test. It also risks producing tests that only check happy paths. I need to force coverage of edge cases, mocking of external dependencies, and framework specification.</thinking> <output><role>Senior QA/Test Engineer</role> <context>Testing a `calculate_discount(price: float, customer_tier: str) -> float` function in a Python codebase using pytest.</context> <task>Write a comprehensive unit test suite for the given function.</task> <instructions> 1. Cover happy-path cases for each customer_tier value. 2. Cover edge cases: zero price, negative price, unknown tier, extremely large price. 3. Use pytest.mark.parametrize to reduce duplication. 4. Mock any external dependencies (e.g. database lookups) so tests run in isolation. 5. Assert both return values and exception behavior (e.g. raises ValueError for invalid input). 6. Include a docstring per test explaining what scenario it verifies. </instructions> <output_format>A single test_calculate_discount.py file compatible with pytest.</output_format> <constraints>Tests must not depend on network access or real database connections.</constraints></output>"
optimize this code,code,"<thinking>Optimization is meaningless without a baseline: what's slow, on what input size, and by what metric (latency, memory, throughput)? Without profiling data the model will guess at micro-optimizations that don't address the real bottleneck. The prompt must require profiling-first reasoning.</thinking> <output><role>Performance Engineering Specialist</role> <context>A Python function processing a list of 1 million records is taking 45 seconds; target is under 5 seconds.</context> <task>Analyze and optimize the provided function for execution speed without changing its external behavior.</task> <instructions> 1. First identify the likely bottleneck class (algorithmic complexity, I/O-bound, redundant computation, inefficient data structure) before proposing changes. 2. State the current and target Big-O complexity. 3. Propose the optimization with a brief explanation of the trade-off (e.g. memory for speed). 4. Provide before/after code. 5. Suggest how to verify the improvement (e.g. timeit benchmark, profiler output). </instructions> <output_format>Bottleneck analysis, then optimized code, then verification method.</output_format> <constraints>Do not change the function's public interface or output format. Do not introduce external dependencies unless the gain is substantial and justified.</constraints></output>"
create a dockerfile,code,"<thinking>A bare Dockerfile request ignores image size, security (running as root), layer caching, and multi-stage builds. These are the difference between a toy container and a production-ready one. The prompt must force these considerations explicitly.</thinking> <output><role>DevOps / Containerization Engineer</role> <context>Containerizing a Node.js 20 Express application for production deployment.</context> <task>Write a production-ready Dockerfile for the application.</task> <instructions> 1. Use a multi-stage build: a build stage with full dependencies, and a slim runtime stage. 2. Use a minimal base image (e.g. node:20-alpine) for the final stage. 3. Copy only necessary files into the final image; use a .dockerignore. 4. Run the application as a non-root user. 5. Set NODE_ENV=production and expose the correct port. 6. Order instructions to maximize Docker layer caching (dependencies before source copy). </instructions> <output_format>A single Dockerfile with inline comments explaining each stage.</output_format> <constraints>Final image size should be minimized; avoid installing dev dependencies in the runtime stage.</constraints></output>"
write a sorting algorithm,code,"<thinking>""Write a sorting algorithm"" doesn't specify which one, the input constraints (size, near-sorted data, duplicates), or whether stability/in-place behavior matters. Without this, the model defaults to a textbook bubble sort with no real justification. The prompt should force a reasoned algorithm choice.</thinking> <output><role>Algorithms Instructor and Software Engineer</role> <context>Sorting a list of up to 100,000 integers where stability (preserving relative order of equal elements) matters for a downstream ranking system.</context> <task>Implement an efficient, stable sorting algorithm and justify the choice.</task> <instructions> 1. State time and space complexity (best, average, worst case). 2. Explain why this algorithm is appropriate given the stability requirement and input size (e.g. merge sort vs. an unstable quicksort). 3. Implement the algorithm from scratch (do not just call a built-in sort) with clear comments per step. 4. Include a test with duplicate values to demonstrate stability is preserved. </instructions> <output_format>Complexity analysis, followed by full implementation, followed by a stability test case.</output_format> <constraints>Do not use the language's built-in sort function in the core implementation — it may only be used to verify correctness.</constraints></output>"
build a cli tool,code,"<thinking>A CLI tool request without the specific command, arguments, or user experience expectations produces a script with no argument validation or help text — unusable by anyone but the original author. The prompt must specify commands, flags, and error UX.</thinking> <output><role>Senior Systems/CLI Tool Developer</role> <context>A command-line tool for developers to bulk-rename files matching a pattern.</context> <task>Build a CLI tool in Python using argparse (or click) that renames files based on a user-supplied pattern.</task> <instructions> 1. Support flags: --pattern (glob), --replace, --dry-run, --recursive. 2. Implement --dry-run to preview changes without executing them. 3. Validate inputs and print clear, actionable error messages (not stack traces) on bad input. 4. Provide a --help output with usage examples. 5. Handle filename collisions (do not silently overwrite). </instructions> <output_format>A single Python script runnable as `python rename_tool.py [flags]`, plus 3 example invocations.</output_format> <constraints>Must never delete or overwrite files without an explicit --force flag.</constraints></output>"
write a machine learning model,code,"<thinking>This request omits the task type (classification/regression), the dataset characteristics, and the evaluation metric — all of which determine model choice and pipeline design. A generic response would hallucinate a dataset. The prompt must anchor the model to a specific, well-defined ML problem and force a full pipeline, not just a model.fit() call.</thinking> <output><role>Machine Learning Engineer</role> <context>Binary classification task: predicting customer churn from a tabular dataset with ~50,000 rows and mixed categorical/numerical features, some missing values.</context> <task>Build an end-to-end ML pipeline to predict churn.</task> <instructions> 1. Include data preprocessing: handle missing values, encode categoricals, scale numerics. 2. Split data with stratification given class imbalance is likely. 3. Choose a baseline model (e.g. logistic regression) and a stronger model (e.g. gradient boosting), justify the choice. 4. Evaluate using precision, recall, F1, and ROC-AUC — not just accuracy, given probable class imbalance. 5. Include cross-validation, not a single train/test split. 6. Report feature importance for interpretability. </instructions> <output_format>Python code using scikit-learn, organized into preprocessing, training, and evaluation sections, followed by a metrics summary table.</output_format> <constraints>Do not report accuracy alone as the success metric given the likely class imbalance. Avoid data leakage (e.g. fit scalers only on training data).</constraints></output>"
create a database schema,code,"<thinking>A schema request with no entities, relationships, or query patterns will produce a generic, possibly under-normalized structure that doesn't fit real access patterns. The prompt must specify the domain and force normalization + indexing reasoning.</thinking> <output><role>Database Architect</role> <context>An e-commerce platform needing to track customers, orders, order line items, and products, with frequent queries by customer order history and product stock levels.</context> <task>Design a relational database schema (PostgreSQL) for this domain.</task> <instructions> 1. Define tables with primary keys, foreign keys, and appropriate data types. 2. Normalize to at least 3NF, but note any deliberate denormalization for read performance and why. 3. Add indexes for the stated frequent query patterns (customer order history, product stock lookups). 4. Include constraints (NOT NULL, UNIQUE, CHECK) where they enforce real business rules (e.g. quantity > 0). 5. Note how you'd handle order line item pricing at time-of-purchase vs. current product price. </instructions> <output_format>CREATE TABLE statements with inline comments, followed by a short ER-relationship summary.</output_format> <constraints>Avoid storing derived/calculated values (e.g. order total) unless justified as a performance optimization, and note the trade-off if you do.</constraints></output>"
review my code,code,"<thinking>""Review my code"" without the code itself, language, or review focus (security? style? performance?) gives the model nothing to act on. It also risks a shallow ""looks good"" response. The prompt must force a structured, multi-dimensional review checklist.</thinking> <output><role>Senior Staff Engineer conducting a code review</role> <context>Reviewing a pull request before merging to the main branch of a production codebase.</context> <task>Perform a thorough code review covering correctness, security, performance, readability, and test coverage.</task> <instructions> 1. If the code is not yet provided, request it along with the language and the PR's stated purpose. 2. Check for correctness issues: off-by-one errors, unhandled edge cases, incorrect assumptions. 3. Check for security issues: injection risks, unvalidated input, hardcoded secrets. 4. Check for performance issues: unnecessary loops, N+1 queries, unbounded memory use. 5. Check readability: naming, function length, comment quality. 6. Check test coverage: are new code paths tested, including failure cases? 7. Categorize findings by severity (blocking, should-fix, nitpick). </instructions> <output_format>A findings table with columns: Severity, Location, Issue, Suggested Fix.</output_format> <constraints>Do not approve the PR implicitly — end with an explicit recommendation (approve / request changes) and reasoning.</constraints></output>"
write a bash script,code,"<thinking>Bash scripts written without error handling (set -e, quoting, exit codes) are a common source of silent production failures. The vague request gives no task, so the model needs to be anchored to a concrete automation goal and forced into defensive scripting practices.</thinking> <output><role>Senior DevOps Engineer</role> <context>An automation script that backs up a directory to a remote server nightly via a cron job.</context> <task>Write a Bash script that archives a specified directory, compresses it, and transfers it via rsync to a remote backup server, with logging.</task> <instructions> 1. Start with `set -euo pipefail` for defensive error handling. 2. Quote all variable expansions to avoid word-splitting issues. 3. Log each step with timestamps to a log file. 4. Check that source directory exists before proceeding; exit with a clear error and non-zero exit code if not. 5. Verify the remote transfer succeeded (check rsync's exit code) before deleting any local temp files. 6. Rotate/delete backups older than a configurable retention period. </instructions> <output_format>A single .sh script with comments explaining each section.</output_format> <constraints>Must not delete the source directory under any circumstance. Must fail loudly, never silently, on any step failure.</constraints></output>"
build a chatbot,code,"<thinking>""Build a chatbot"" is far too broad — rule-based vs. LLM-based, the domain, and failure/fallback behavior are all undefined. Without constraints the model may design an open-ended system prone to hallucination in a domain where accuracy matters (e.g. customer support). The prompt must scope the domain and force fallback/escalation handling.</thinking> <output><role>Conversational AI Engineer</role> <context>A customer-support chatbot for a SaaS product, backed by an LLM with access to a knowledge base via retrieval-augmented generation (RAG).</context> <task>Design the architecture and core prompt logic for a support chatbot that answers product questions and escalates when it cannot help.</task> <instructions> 1. Define the retrieval step: how relevant KB articles are fetched and passed as context. 2. Design the system prompt to instruct the model to answer only from retrieved context and avoid fabricating features that don't exist. 3. Define explicit escalation triggers (e.g. billing disputes, account deletion requests, low retrieval confidence) that hand off to a human. 4. Specify how conversation history is maintained and truncated to fit context limits. 5. Define a fallback response for when no relevant KB content is found. </instructions> <output_format>System prompt text, followed by a flowchart-style description of the retrieval → response → escalation pipeline.</output_format> <constraints>The bot must never claim capabilities (e.g. processing refunds) it cannot actually perform. Must not fabricate policy details not present in the KB.</constraints></output>"
